STATE,year,type,race,sex,value
AK,2012,APPLICANTS,AMERICANINDIAN,FEMALE,64
AK,2012,APPLICANTS,AMERICANINDIAN,MALE,216
AK,2012,APPLICANTS,ASIAN,FEMALE,87
AK,2012,APPLICANTS,ASIAN,MALE,132
AK,2012,APPLICANTS,BLACK,FEMALE,34
AK,2012,APPLICANTS,BLACK,MALE,85
AK,2012,APPLICANTS,HISPANIC,FEMALE,59
AK,2012,APPLICANTS,HISPANIC,MALE,98
AK,2012,APPLICANTS,WHITE,FEMALE,413
AK,2012,APPLICANTS,WHITE,MALE,1092
AK,2012,MEMBERS,AMERICANINDIAN,FEMALE,147
AK,2012,MEMBERS,AMERICANINDIAN,MALE,561
AK,2012,MEMBERS,ASIAN,FEMALE,238
AK,2012,MEMBERS,ASIAN,MALE,409
AK,2012,MEMBERS,BLACK,FEMALE,69
AK,2012,MEMBERS,BLACK,MALE,238
AK,2012,MEMBERS,HISPANIC,FEMALE,141
AK,2012,MEMBERS,HISPANIC,MALE,300
AK,2012,MEMBERS,WHITE,FEMALE,1159
AK,2012,MEMBERS,WHITE,MALE,5506
AK,2012,REFERRALAPPLICANTS,AMERICANINDIAN,FEMALE,25
AK,2012,REFERRALAPPLICANTS,AMERICANINDIAN,MALE,118
AK,2012,REFERRALAPPLICANTS,ASIAN,FEMALE,7
AK,2012,REFERRALAPPLICANTS,ASIAN,MALE,21
AK,2012,REFERRALAPPLICANTS,BLACK,FEMALE,3
AK,2012,REFERRALAPPLICANTS,BLACK,MALE,34
AK,2012,REFERRALAPPLICANTS,HISPANIC,FEMALE,6
AK,2012,REFERRALAPPLICANTS,HISPANIC,MALE,37
AK,2012,REFERRALAPPLICANTS,WHITE,FEMALE,80
AK,2012,REFERRALAPPLICANTS,WHITE,MALE,445
AK,2012,REFERRALS,AMERICANINDIAN,FEMALE,14
AK,2012,REFERRALS,AMERICANINDIAN,MALE,54
AK,2012,REFERRALS,ASIAN,FEMALE,5
AK,2012,REFERRALS,ASIAN,MALE,28
AK,2012,REFERRALS,BLACK,FEMALE,5
AK,2012,REFERRALS,BLACK,MALE,24
AK,2012,REFERRALS,HISPANIC,FEMALE,8
AK,2012,REFERRALS,HISPANIC,MALE,30
AK,2012,REFERRALS,WHITE,FEMALE,52
AK,2012,REFERRALS,WHITE,MALE,354
AK,2012,REFERRED,AMERICANINDIAN,FEMALE,14
AK,2012,REFERRED,AMERICANINDIAN,MALE,54
AK,2012,REFERRED,ASIAN,FEMALE,5
AK,2012,REFERRED,ASIAN,MALE,28
AK,2012,REFERRED,BLACK,FEMALE,5
AK,2012,REFERRED,BLACK,MALE,23
AK,2012,REFERRED,HISPANIC,FEMALE,8
AK,2012,REFERRED,HISPANIC,MALE,29
AK,2012,REFERRED,WHITE,FEMALE,49
AK,2012,REFERRED,WHITE,MALE,347
AL,2012,APPLICANTS,AMERICANINDIAN,FEMALE,
AL,2012,APPLICANTS,AMERICANINDIAN,MALE,
AL,2012,APPLICANTS,ASIAN,FEMALE,
AL,2012,APPLICANTS,ASIAN,MALE,
AL,2012,APPLICANTS,BLACK,FEMALE,27
AL,2012,APPLICANTS,BLACK,MALE,380
AL,2012,APPLICANTS,HISPANIC,FEMALE,
AL,2012,APPLICANTS,HISPANIC,MALE,33
AL,2012,APPLICANTS,WHITE,FEMALE,34
AL,2012,APPLICANTS,WHITE,MALE,812
AL,2012,MEMBERS,AMERICANINDIAN,FEMALE,6
AL,2012,MEMBERS,AMERICANINDIAN,MALE,57
AL,2012,MEMBERS,ASIAN,FEMALE,
AL,2012,MEMBERS,ASIAN,MALE,149
AL,2012,MEMBERS,BLACK,FEMALE,163
AL,2012,MEMBERS,BLACK,MALE,1094
AL,2012,MEMBERS,HISPANIC,FEMALE,
AL,2012,MEMBERS,HISPANIC,MALE,97
AL,2012,MEMBERS,WHITE,FEMALE,320
AL,2012,MEMBERS,WHITE,MALE,10276
AL,2012,REFERRALAPPLICANTS,AMERICANINDIAN,FEMALE,
AL,2012,REFERRALAPPLICANTS,AMERICANINDIAN,MALE,16
AL,2012,REFERRALAPPLICANTS,ASIAN,FEMALE,
AL,2012,REFERRALAPPLICANTS,ASIAN,MALE,
AL,2012,REFERRALAPPLICANTS,BLACK,FEMALE,22
AL,2012,REFERRALAPPLICANTS,BLACK,MALE,212
AL,2012,REFERRALAPPLICANTS,HISPANIC,FEMALE,34
AL,2012,REFERRALAPPLICANTS,HISPANIC,MALE,17
AL,2012,REFERRALAPPLICANTS,WHITE,FEMALE,38
AL,2012,REFERRALAPPLICANTS,WHITE,MALE,1545
AL,2012,REFERRALS,AMERICANINDIAN,FEMALE,
AL,2012,REFERRALS,AMERICANINDIAN,MALE,11
AL,2012,REFERRALS,ASIAN,FEMALE,
AL,2012,REFERRALS,ASIAN,MALE,5
AL,2012,REFERRALS,BLACK,FEMALE,51
AL,2012,REFERRALS,BLACK,MALE,320
AL,2012,REFERRALS,HISPANIC,FEMALE,
AL,2012,REFERRALS,HISPANIC,MALE,25
AL,2012,REFERRALS,WHITE,FEMALE,49
AL,2012,REFERRALS,WHITE,MALE,1897
AL,2012,REFERRED,AMERICANINDIAN,FEMALE,
AL,2012,REFERRED,AMERICANINDIAN,MALE,10
AL,2012,REFERRED,ASIAN,FEMALE,
AL,2012,REFERRED,ASIAN,MALE,5
AL,2012,REFERRED,BLACK,FEMALE,51
AL,2012,REFERRED,BLACK,MALE,319
AL,2012,REFERRED,HISPANIC,FEMALE,
AL,2012,REFERRED,HISPANIC,MALE,25
AL,2012,REFERRED,WHITE,FEMALE,49
AL,2012,REFERRED,WHITE,MALE,1893
AR,2012,APPLICANTS,AMERICANINDIAN,FEMALE,
AR,2012,APPLICANTS,AMERICANINDIAN,MALE,
AR,2012,APPLICANTS,ASIAN,FEMALE,
AR,2012,APPLICANTS,ASIAN,MALE,4
AR,2012,APPLICANTS,BLACK,FEMALE,
AR,2012,APPLICANTS,BLACK,MALE,28
AR,2012,APPLICANTS,HISPANIC,FEMALE,
AR,2012,APPLICANTS,HISPANIC,MALE,9
AR,2012,APPLICANTS,WHITE,FEMALE,11
AR,2012,APPLICANTS,WHITE,MALE,274
AR,2012,MEMBERS,AMERICANINDIAN,FEMALE,19
AR,2012,MEMBERS,AMERICANINDIAN,MALE,64
AR,2012,MEMBERS,ASIAN,FEMALE,17
AR,2012,MEMBERS,ASIAN,MALE,247
AR,2012,MEMBERS,BLACK,FEMALE,33
AR,2012,MEMBERS,BLACK,MALE,161
AR,2012,MEMBERS,HISPANIC,FEMALE,15
AR,2012,MEMBERS,HISPANIC,MALE,30
AR,2012,MEMBERS,WHITE,FEMALE,124
AR,2012,MEMBERS,WHITE,MALE,2040
AR,2012,REFERRALAPPLICANTS,AMERICANINDIAN,FEMALE,
AR,2012,REFERRALAPPLICANTS,AMERICANINDIAN,MALE,
AR,2012,REFERRALAPPLICANTS,ASIAN,FEMALE,
AR,2012,REFERRALAPPLICANTS,ASIAN,MALE,
AR,2012,REFERRALAPPLICANTS,BLACK,FEMALE,
AR,2012,REFERRALAPPLICANTS,BLACK,MALE,26
AR,2012,REFERRALAPPLICANTS,HISPANIC,FEMALE,
AR,2012,REFERRALAPPLICANTS,HISPANIC,MALE,6
AR,2012,REFERRALAPPLICANTS,WHITE,FEMALE,11
AR,2012,REFERRALAPPLICANTS,WHITE,MALE,287
AR,2012,REFERRALS,AMERICANINDIAN,FEMALE,
AR,2012,REFERRALS,AMERICANINDIAN,MALE,3
AR,2012,REFERRALS,ASIAN,FEMALE,
AR,2012,REFERRALS,ASIAN,MALE,33
AR,2012,REFERRALS,BLACK,FEMALE,
AR,2012,REFERRALS,BLACK,MALE,36
AR,2012,REFERRALS,HISPANIC,FEMALE,
AR,2012,REFERRALS,HISPANIC,MALE,7
AR,2012,REFERRALS,WHITE,FEMALE,13
AR,2012,REFERRALS,WHITE,MALE,389
AR,2012,REFERRED,AMERICANINDIAN,FEMALE,
AR,2012,REFERRED,AMERICANINDIAN,MALE,3
AR,2012,REFERRED,ASIAN,FEMALE,
AR,2012,REFERRED,ASIAN,MALE,33
AR,2012,REFERRED,BLACK,FEMALE,
AR,2012,REFERRED,BLACK,MALE,29
AR,2012,REFERRED,HISPANIC,FEMALE,
AR,2012,REFERRED,HISPANIC,MALE,7
AR,2012,REFERRED,WHITE,FEMALE,13
AR,2012,REFERRED,WHITE,MALE,378
AZ,2012,APPLICANTS,AMERICANINDIAN,FEMALE,36
AZ,2012,APPLICANTS,AMERICANINDIAN,MALE,172
AZ,2012,APPLICANTS,ASIAN,FEMALE,
AZ,2012,APPLICANTS,ASIAN,MALE,20
AZ,2012,APPLICANTS,BLACK,FEMALE,
AZ,2012,APPLICANTS,BLACK,MALE,17
AZ,2012,APPLICANTS,HISPANIC,FEMALE,4
AZ,2012,APPLICANTS,HISPANIC,MALE,355
AZ,2012,APPLICANTS,WHITE,FEMALE,7
AZ,2012,APPLICANTS,WHITE,MALE,548
AZ,2012,MEMBERS,AMERICANINDIAN,FEMALE,113
AZ,2012,MEMBERS,AMERICANINDIAN,MALE,1045
AZ,2012,MEMBERS,ASIAN,FEMALE,3
AZ,2012,MEMBERS,ASIAN,MALE,197
AZ,2012,MEMBERS,BLACK,FEMALE,14
AZ,2012,MEMBERS,BLACK,MALE,166
AZ,2012,MEMBERS,HISPANIC,FEMALE,95
